trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
436,False,"{'e': 0.01277838764953576, 'a': 0.1}",25,16,16.970596650557592,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'e': 0.012651240568005305, 'a': 0.1}",25,17,14.624199232187129,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'e': 0.012525358621074385, 'a': 0.1}",25,11,25.729415284862707,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'e': 0.012400729220443406, 'a': 0.1}",25,18,10.95708885368341,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'e': 0.012277339903068436, 'a': 0.1}",30,0,48.51781451274703,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
441,False,"{'e': 0.012155178329914935, 'a': 0.1}",30,13,32.91902512093365,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'e': 0.012034232284723775, 'a': 0.1}",20,2,24.939251705648186,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'e': 0.011914489672789647, 'a': 0.1}",25,17,15.517053092351597,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'e': 0.011795938519751562, 'a': 0.1}",20,12,14.883800618400663,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'e': 0.011678566970395442, 'a': 0.1}",30,16,25.343186930129733,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'e': 0.011562363287468536, 'a': 0.1}",25,19,13.149259352769437,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'e': 0.01144731585050571, 'a': 0.1}",25,11,26.951209142199332,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'e': 0.011333413154667387, 'a': 0.1}",30,16,28.266488428934235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'e': 0.011220643809589084, 'a': 0.1}",25,13,24.440852805765857,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'e': 0.011108996538242306, 'a': 0.1}",20,16,8.645843469024943,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'e': 0.010998460175806881, 'a': 0.1}",20,0,34.879971006533474,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
452,False,"{'e': 0.01088902366855444, 'a': 0.1}",20,9,17.93870451230464,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'e': 0.010780676072743084, 'a': 0.1}",20,15,10.095551888836638,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'e': 0.010673406553522925, 'a': 0.1}",25,3,35.824157231832466,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'e': 0.010567204383852655, 'a': 0.1}",20,10,16.56068231560442,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
